customer_id,first_name,last_name,email,membership_level
1,Todd,Clarke,ToddClarke@hotmail,Gold
2,Elijah,Yoder,ElijahYoder@gmail.com,Gold
3,Carlos,Camacho,CarlosCamacho@yahoo,Basic
4,Jennifer,Hanna,JenniferHanna@yahoo,Gold
5,Andrew,Martinez,AndrewMartinez@gmail.com,Basic
6,Chelsea,Gray,ChelseaGray@gmail.com,Platinum
7,Nicholas,Brown,NicholasBrown@hotmail,Platinum
8,Cody,Faulkner,CodyFaulkner@hotmail,Platinum
9,Frederick,Morrison,FrederickMorrison@gmail.com,Basic
10,Tracy,Rice,TracyRice@yahoo,Gold
11,Michelle,Walker,MichelleWalker@gmail.com,Basic
12,Kendra,Gordon,KendraGordon@hotmail,Gold
13,Chase,Johnson,ChaseJohnson@gmail.com,Platinum
14,Mitchell,Williamson,MitchellWilliamson@yahoo,Gold
15,Hannah,Franco,HannahFranco@gmail.com,Platinum
16,Kristen,King,KristenKing@yahoo,Platinum
17,Sherri,Perry,SherriPerry@yahoo,Basic
18,Greg,Perkins,GregPerkins@gmail.com,Gold
19,Courtney,Miller,CourtneyMiller@gmail.com,Basic
20,Cory,Johnson,CoryJohnson@yahoo,Platinum
21,Heather,Jones,HeatherJones@yahoo,Platinum
22,Steven,Fitzgerald,StevenFitzgerald@gmail.com,Gold
23,Krystal,Mcpherson,KrystalMcpherson@hotmail,Gold
24,Angela,Fox,AngelaFox@yahoo,Basic
25,Ryan,Navarro,RyanNavarro@yahoo,Gold
26,Donna,Olsen,DonnaOlsen@gmail.com,Gold
27,Alexa,Yang,AlexaYang@hotmail,Gold
28,Kenneth,Burns,KennethBurns@gmail.com,Basic
29,Dennis,Hill,DennisHill@yahoo,Basic
30,Kathleen,Hernandez,KathleenHernandez@yahoo,Gold
31,Angela,Mckenzie,AngelaMckenzie@gmail.com,Gold
32,Shannon,Jackson,ShannonJackson@yahoo,Platinum
33,Kristina,Taylor,KristinaTaylor@hotmail,Basic
34,Alexander,Ramos,AlexanderRamos@yahoo,Gold
35,Theresa,Schroeder,TheresaSchroeder@hotmail,Basic
36,Kevin,Watson,KevinWatson@yahoo,Platinum
37,Robert,Burnett,RobertBurnett@gmail.com,Gold
38,Jesse,Jones,JesseJones@hotmail,Platinum
39,Shawn,Morgan,ShawnMorgan@yahoo,Gold
40,Travis,Osborne,TravisOsborne@yahoo,Platinum
41,Randy,Tran,RandyTran@gmail.com,Basic
